type,carpark,period,day_of_week,Means,Covariances,Weights
white,CP6B,Exam,Wednesday,"[82.99999999999982, 61.999999999999865, 84.99999999999982, 83.99999999999982, 85.99999999999982]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP6B,Holiday,Friday,[78.70833333333333],[264.2065982222222],[1.0]
white,CP6B,Holiday,Monday,[77.79166666666666],[453.9149315555556],[1.0]
white,CP6B,Holiday,Saturday,[75.30769230769229],[407.3668649053254],[1.0]
white,CP6B,Holiday,Sunday,"[68.07656538603976, 280.9999999999994, 104.07961104070944, 214.99999999999952, 39.91143233985135, 164.99999999999963]","[14.249325309854695, 1e-06, 176.11856207720967, 1e-06, 51.42501404795838, 1e-06]","[0.3490715504290999, 0.035714285714285775, 0.2576533459796919, 0.035714285714285775, 0.2861322468837994, 0.03571428527883729]"
white,CP6B,Holiday,Thursday,[89.87499999999999],[110.02604266666665],[1.0]
white,CP6B,Holiday,Tuesday,"[87.23534406655162, 76.09014941516826, 109.99999999999976, 64.99999999999993]","[20.000523289632998, 4.570279441187554, 1e-06, 1e-06]","[0.561179305711728, 0.31382069509247645, 0.04166666643682124, 0.08333333275897437]"
white,CP6B,Holiday,Wednesday,"[63.99999999999986, 89.9999999999998, 76.49998706718264, 95.66130505002177, 84.65888171158782, 70.99999999999993]","[1e-06, 1e-06, 0.7499880671084991, 10.349988849098112, 1.8898452289383405, 1e-06]","[0.041666666666666734, 0.041639177804813104, 0.16666522832374317, 0.418321427211075, 0.2483741666607043, 0.08333333333299768]"
white,CP6B,School,Friday,"[43.999627225657285, 92.23910796542911]","[5.999676275649691, 110.86127785259328]","[0.10712551865716885, 0.8928744813428312]"
white,CP6B,School,Monday,"[114.38154819778829, 40.99999999999991, 75.78928997166379, 95.72083888667457, 19.999999999999957]","[50.57642426817128, 1e-06, 42.18320824356406, 9.863254277072047, 1e-06]","[0.23065335319421165, 0.0370370370095638, 0.3014635567631973, 0.3938090159959901, 0.037037037037037104]"
white,CP6B,School,Saturday,[80.15999999999998],[535.174401],[1.0]
white,CP6B,School,Sunday,"[44.99844539995793, 78.96527718917051, 93.75260126180368, 112.99999999999974, 17.99999999999996, 61.05310196058314]","[2.0015531832608033, 16.042122435114784, 8.47006166480079, 1e-06, 1e-06, 23.913166360746796]","[0.13011904230574095, 0.40291165935718254, 0.2552102387543605, 0.04347826086953224, 0.04347826086956528, 0.12480253784361828]"
white,CP6B,School,Thursday,[100.37037037037035],[298.233197159122],[1.0]
white,CP6B,School,Tuesday,"[78.99999999999983, 99.27536177863034, 19.999999999999957, 115.0754352437602, 133.99999999999972, 87.53212943864607]","[1e-06, 8.564905357098715, 1e-06, 17.028011678352144, 1e-06, 5.361850085040071]","[0.037036946820023564, 0.5205310209000608, 0.0370370370370371, 0.18716051705605466, 0.037037035982921684, 0.18119744220390205]"
white,CP6B,School,Wednesday,"[136.9999999999997, 106.17326482940969, 91.43127413529132, 60.99999999999986]","[1e-06, 23.85257558349211, 28.16521360204103, 1e-06]","[0.0370370370368058, 0.6035120071464196, 0.3224139187836169, 0.03703703703315759]"
